country,data
Afghanistan,"33,397,100"
Albania,"2,832,500"
Algeria,"37,402,000"
Andorra,"71,800"
Angola,"20,945,000"
Antigua and Barbuda,"87,000"
Argentina,"40,829,000"
Armenia,"3,282,300"
Australia,"22,035,000"
Austria,"8,485,200"
Azerbaijan,"9,284,000"
Bahamas,"362,000"
Bahrain,"1,336,000"
Bangladesh,"152,875,000"
Barbados,"277,000"
Belarus,"9,457,000"
Belgium,"11,120,500"
Belize,"326,000"
Benin,"9,374,000"
Bhutan,"708,300"
Bolivia,"10,836,000"
Bosnia-Herzegovina,"3,843,000"
Botswana,"1,850,000"
Brazil,"194,334,000"
Brunei,"412,900"
Bulgaria,"7,240,000"
Burkina Faso,"17,482,000"
Burundi,"10,557,000"
Cambodia,"14,952,700"
Cameroon,"20,919,000"
Canada,"34,860,000"
Cape Verde,"510,000"
Central African Republic,"4,576,000"
Chad,"11,831,000"
Channel Islands,"156,000"
Chile,"17,403,000"
China,"1,350,378,000"
Colombia,"47,415,000"
Comoros,"773,000"
Congo,"4,247,000"
"Congo, Dem. Rep. of","69,117,000"
Costa Rica,"4,481,000"
Cote d'Ivoire,"20,646,000"
Croatia,"4,273,700"
Cuba,"11,219,000"
Cyprus,"1,172,000"
Czech Republic,"10,489,900"
Denmark,"5,590,500"
Djibouti,"923,000"
Dominica,"71,000"
Dominican Republic,"10,135,000"
Ecuador,"14,865,000"
Egypt,"82,283,000"
El Salvador,"6,264,000"
Equatorial Guinea,"740,000"
Eritrea,"5,581,000"
Estonia,"1,339,400"
Ethiopia,"86,960,000"
Federated States of Micronesia,"107,000"
Fiji,"844,000"
Finland,"5,414,300"
France,"63,605,300"
French Guiana,"242,000"
French Polynesia,"276,000"
Gabon,"1,564,000"
Gambia,"1,825,000"
Georgia,"4,518,900"
Germany,"81,825,000"
Ghana,"25,546,000"
Greece,"10,832,800"
Grenada,"115,000"
Guadeloupe,"402,000"
Guam,"160,000"
Guatemala,"15,044,000"
Guinea,"11,498,000"
Guinea-Bissau,"1,637,000"
Guyana,"796,000"
Haiti,"10,256,000"
Honduras,"8,385,000"
